full_name,a,e,i,om,w,ma,H,epoch_cal,epoch_mjd
"       (2017 BO91)",1.099964555408057,.329110529920203,4.924187541061567,307.4096952433783,54.14728774423683,92.77092320446411,24.9,20170130.0000000,57783
"       (2017 BO93)",2.216742797721034,.5006139763512005,19.96522595386807,322.0538642619089,91.16359419429929,270.2089018780841,20.9,20190427.0000000,58600
"       (2017 BP3)",2.151821233139419,.5195111866283797,5.722368323691021,302.4291456902195,201.5057770419405,252.6798747321961,23.5,20190427.0000000,58600
"       (2017 BP30)",1.306161709215422,.2675817232365342,8.757876167603056,309.297421915245,232.2726044542292,148.6725290317921,26.0,20190427.0000000,58600
"       (2017 BP31)",2.116252022024804,.6985291511147156,1.60810945597403,48.41414337476223,202.6996012392079,238.257635752065,19.8,20190427.0000000,58600
"       (2017 BP32)",1.313618000828016,.2103260154815883,23.72980604687256,315.4447317080012,185.5927269324264,355.19107628641,23.1,20170131.0000000,57784
"       (2017 BP5)",1.564800110773242,.722658137051247,22.30033566462853,251.7892992321445,70.9328790051909,100.2272998332743,20.3,20190427.0000000,58600
"       (2017 BP6)",1.522179902793937,.3311840667375227,20.16426527675654,127.5108963943403,322.1793135577062,19.01029637259049,25.3,20170128.0000000,57781
"       (2017 BP91)",1.335070120911682,.1436072611196856,5.474683484296226,103.6957116480889,22.78036374722982,161.9687060048848,23.3,20190427.0000000,58600
"       (2017 BP93)",1.263224476525495,.03431871135486587,17.48568284483909,123.3614104196467,302.9284346947997,60.01700377478648,23.8,20170131.0000000,57784
"       (2017 BQ30)",1.897759043895917,.5359131500263193,4.047925672270194,311.2415811659635,126.5315759967417,323.255733059724,25.4,20190427.0000000,58600
"       (2017 BQ31)",2.275902380642711,.6790364860870353,8.204783767747337,16.56415963813619,25.52503131384931,250.4376488303137,20.7,20190427.0000000,58600
"       (2017 BQ32)",1.241847473563739,.1853140359827981,13.18616534485958,312.9827858176239,179.5926183424186,219.9036552654578,26.8,20190427.0000000,58600
"       (2017 BQ5)",1.734796022899621,.5502687031624754,7.680658955708491,215.0363401397038,335.1181230469585,336.988918626521,22.8,20170124.0000000,57777
"       (2017 BQ6)",1.947205465078637,.5305267947997033,8.999817426273104,133.0193605014209,43.57921206712901,282.7977831907442,21.4,20190427.0000000,58600
"       (2017 BQ91)",3.221572700567731,.6390318116814957,34.25642198478603,138.8943847864368,10.20942261547021,136.8477672784369,21.4,20190427.0000000,58600
"       (2017 BQ93)",1.570141494323009,.4222062665555306,38.64887579751755,284.0060501016683,229.1587259214031,27.80855294095152,20.3,20190427.0000000,58600
"       (2017 BR31)",2.148530057062657,.5537259023702383,7.937694410697999,251.1786604610099,184.7757160099027,265.9079988048192,21.3,20190427.0000000,58600
"       (2017 BR32)",2.046903099106592,.528909216809115,2.017574797501511,333.7783542427609,129.7706846039184,282.0482905612034,26.7,20190427.0000000,58600
"       (2017 BR5)",1.730422057422497,.4855642050925429,5.383674563159333,124.8217210765906,312.0098528394705,11.7170994011717,27.6,20190427.0000000,58600
"       (2017 BR6)",.8817854268277087,.3345611870133732,6.683823036030735,127.9265789458759,227.038360297106,353.8918066925297,27.9,20190427.0000000,58600
"       (2017 BR93)",4.14921893713759,.7200082087495837,15.37192584306401,97.30140126523517,319.2413183967215,108.9224957348475,19.7,20190427.0000000,58600
"       (2017 BS)",1.282481193734127,.2235396716834165,10.271133703969,286.5674867218081,181.5324902113055,207.6720672578628,24.5,20190427.0000000,58600
"       (2017 BS31)",1.262671578369055,.4680141857993176,19.82555533970675,151.5489239431366,81.72530417866673,151.7205251141008,21.9,20190427.0000000,58600
"       (2017 BS32)",.9560140246021894,.3375271558057168,8.835999768544289,313.5617820319505,295.0276583744573,61.1699915124066,27.2,20190427.0000000,58600
"       (2017 BS5)",1.016630620633166,.007848680349032189,11.22956307795838,120.7398223412059,15.14683677394542,62.54187697670672,24.2,20190427.0000000,58600
"       (2017 BS6)",1.196096082113305,.1795366409832685,13.78983319396296,298.8087078280034,293.4735053085415,173.4512633707091,23.1,20190427.0000000,58600
"       (2017 BS93)",1.562675434487441,.5107933960078093,11.7731857095405,282.6884231126096,116.0529792341115,31.56679770422723,22.5,20170130.0000000,57783
"       (2017 BT)",1.381136024071513,.2376607465860294,9.580776834526752,105.8887867947031,346.9527681277776,155.2928933615853,22.2,20190427.0000000,58600
"       (2017 BT31)",2.278925865913684,.4738604018247146,8.231813814568502,119.6151173748381,14.17619260919225,359.2945349252028,23.9,20170129.0000000,57782
"       (2017 BT32)",1.360698251433751,.175919740916023,22.48185575788469,309.4722245486485,120.5217710712974,44.39718371222258,23.7,20170128.0000000,57781
"       (2017 BT6)",2.484769134218257,.6332708334983208,5.586226796700345,113.6947732448067,57.67569703878309,351.5665217103941,24.8,20170127.0000000,57780
"       (2017 BT93)",2.376245512662607,.7910840766593529,6.300662898736864,105.2965169924199,135.5963635947623,344.5840419919823,23.3,20170201.0000000,57785
"       (2017 BU)",1.019758805980502,.2511837157707261,1.504403957786365,75.54041135969604,159.2483787849927,344.9818854568031,25.1,20190427.0000000,58600
"       (2017 BU31)",2.100687211854708,.3910044364742681,6.256055648590359,281.9304691479069,250.0096689151778,249.1552651956604,20.7,20190427.0000000,58600
"       (2017 BU32)",1.112620527811118,.238553550633289,7.351000781130801,128.1830848374261,268.8805012569414,32.20208330551867,26.5,20190427.0000000,58600
"       (2017 BU6)",2.036305975108537,.5143167092804843,4.073273071827443,99.2642355957146,92.97725130336541,258.6168609630533,22.3,20190427.0000000,58600
"       (2017 BU93)",.9812360496543806,.4029229615520926,22.40843865007597,141.8205383577954,213.5007533930641,207.57630463442,23.1,20190427.0000000,58600
"       (2017 BV)",1.479013598436503,.3873462393092206,13.68451045351768,117.8768443602094,306.225445003306,25.39374980711997,26.0,20170121.0000000,57774
"       (2017 BV6)",1.893840729922819,.4591496740182746,18.40408256212292,315.6796171081825,227.3979695096044,291.2427310175223,22.6,20190427.0000000,58600
"       (2017 BV93)",.964736816310609,.1156005065896268,4.608028469310351,112.2628383405482,144.8237071653984,14.61172242076011,24.9,20190427.0000000,58600
"       (2017 BW)",1.075605735981616,.1396757307932549,4.7586136578459,142.5271348921874,70.20404755331818,295.6120222680834,23.5,20190427.0000000,58600
"       (2017 BW30)",1.076899125571553,.2117488016805901,23.81331955061716,311.9463431210414,85.66929084988132,71.84600610897434,23.8,20190427.0000000,58600
"       (2017 BW32)",1.982296035157861,.370234069945435,4.15102521398442,304.3724694920541,227.7013654509392,274.6546575549114,22.8,20190427.0000000,58600
"       (2017 BW6)",1.851332609131567,.4900602930884469,5.680727272455198,295.6911613277321,140.7638225154772,16.86120792919106,25.3,20170129.0000000,57782
"       (2017 BW93)",1.396037253732231,.3701487118778531,2.588609791137929,137.8017477726254,287.6757740111205,33.86141581733771,25.2,20170202.0000000,57786
"       (2017 BX)",1.460050080749822,.3574090889080937,4.613391189965445,124.3891245992412,35.27852070952907,83.3709954828974,28.0,20190427.0000000,58600
